filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
././help/TOC.md,,,,,,
./help/ajo-home.md,Journey Optimizer product documentation,,Overview,Content Management,User,Beginner
./help/using/get-started.md,Journey Optimizer,Get Started with Journey Optimizer,Overview,Content Management,User,Beginner
./help/using/quick-start.md,Quick Start,Journey Optimizer Quick Start,Overview,Content Management,User,Beginner
./help/using/user-interface.md,User Interface,Journey Optimizer User Interface,Overview,Content Management,User,Intermediate
./help/using/known-issues.md,Known Issues,Known issues,Overview,Content Management,User,Intermediate
./help/using/get-started-content.md,Get started with messages,Learn how to create messages in Journey Optimizer,Overview,Content Management,User,Beginner
./help/using/create-message.md,Create a message,Learn how to create a message,Overview,Content Management,User,Beginner
./help/using/create-email.md,Create an email,Learn how to create an email in Journey Optimizer,Overview,Content Management,User,Beginner
./help/using/create-push.md,Configure a push notification,Learn how to create a push notification in Journey Optimizer,Overview,Content Management,User,Beginner
./help/using/assets-essentials.md,Adobe Experience Manager Assets Essentials,Get Started with Assets Essentials,Overview,Content Management,User,Beginner
./help/using/design-emails.md,Design emails,Learn how to design your emails,Overview,Content Management,User,Intermediate
./help/using/create-email-content.md,Design emails in Journey Optimizer,Learn how to design your emails content,Overview,Content Management,User,Intermediate
./help/using/existing-content.md,Import or code your emails,Learn how to import email content or code your emails,Overview,Content Management,User,Intermediate
./help/using/content-components.md,Use email designer content components,Learn how to use content components in your emails,Overview,Content Management,User,Intermediate
./help/using/personalization/personalize.md,Personalize content in Journey Optimizer,Get Started with personalization,Personalization,Personalization,Data Engineer,Beginner
./help/using/personalization/personalization-aeras.md,Personalization contexts in Journey Optimizer,Learn in which contexts you can add personalization,Personalization,Personalization,Data Engineer,Intermediate
./help/using/personalization/personalization-syntax.md,Personalization syntax,Learn how to use personalization syntax,Personalization,Personalization,Data Engineer,Intermediate
./help/using/personalization/personalization-validation.md,Personalization validation,Learn more about personalization validation and how to troubleshoot,Personalization,Personalization,Data Engineer,Intermediate
./help/using/personalization/personalization-use-case.md,Personalization use case,Personalization use case,Personalization,Personalization,Data Engineer,Intermediate
./help/using/personalization/functions/functions.md,Helper functions library,Journey Optimizer Helper functions library,Personalization,Personalization,Data Engineer,Experienced
./help/using/personalization/functions/aggregation.md,Aggregation functions library,Aggregation functions library,Personalization,Personalization,Data Engineer,Experienced
./help/using/personalization/functions/arithmetic-functions.md,Arithmetic functions library,Arithmetic functions library,Personalization,Personalization,Data Engineer,Experienced
./help/using/personalization/functions/arrays-list.md,Arrays functions library,Arrays functions library,Personalization,Personalization,Data Engineer,Experienced
./help/using/personalization/functions/operators.md,Operators functions library,Operators functions library,Personalization,Personalization,Data Engineer,Experienced
./help/using/personalization/functions/helpers.md,Helpers,Helpers,Personalization,Personalization,Data Engineer,Experienced
./help/using/personalization/functions/maps.md,Maps functions library,Maps functions library,Personalization,Personalization,Data Engineer,Experienced
./help/using/personalization/functions/objects.md,Objects functions library,Objects functions library,Personalization,Personalization,Data Engineer,Experienced
./help/using/personalization/functions/string.md,String functions library,String functions library,Personalization,Personalization,Data Engineer,Experienced
./help/using/deliver-personalized-offers.md,Add personalized offers,Learn how to add personalized offers to your messages,Journeys,Content Management,User,Intermediate
./help/using/preview.md,Preview messages and send proofs,Learn how to preview and test your messages,Journeys,Content Management,User,Intermediate
./help/using/alerts.md,Alerts in messages,Learn how to check message content validation and troubleshoot,Journeys,Content Management,User,Intermediate
./help/using/publish-manage-message.md,Publish and modify a message,Learn how to publish and update your messages,Journeys,Content Management,User,Intermediate
./help/using/consent.md,Manage opt-out,Learn how to manage opt-out and privacy,Journeys,Content Management,User,Intermediate
./help/using/segment/about-segments.md,About Adobe Experience Platform segments,Learn how to configure an Adobe Experience Platform segment,Journeys,Content Management,User,Intermediate
./help/using/segment/creating-a-segment.md,Build a segment,Learn how to build segments,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/journey.md,General principle,General principle,Journeys,Content Management,User,Beginner
./help/using/building-journeys/limitations.md,Journey limitations,Learn more about Journey limitations,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/journey-versions.md,Journey versions,Learn about journey versions,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/creating-test-profiles.md,Create a test profile,Learn how to create a test profile,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/journey-gs.md,Get started with journeys,Get started with journeys,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/using-the-journey-designer.md,Design your journey,Learn how to design your journey,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/testing-the-journey.md,Testing the journey,Learn about journey testing,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/publishing-the-journey.md,Publish the journey,Learn how to publish a journey,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/timezone-management.md,Time zone management,Learn about time zone management,Journeys,Content Management,User,Intermediate
